name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2015-08-09,21.5,15.7,18.1,21.5,15.7,18.1,13.9,77.4,0,0,0,,,,57.4,33.3,266.9,1013.9,66,16,324.3,28.2,9,,2015-08-09T06:19:51,2015-08-09T20:09:55,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-10,21.8,15.7,18.5,21.8,15.7,18.5,14.1,75.8,0,0,0,,,,51,35.5,269.1,1013.9,73,16,284.3,24.4,10,,2015-08-10T06:20:43,2015-08-10T20:08:45,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-11,22.2,16.2,18.4,22.2,16.2,18.4,13.5,74.1,0,0,0,,,,50,31,270.3,1013.8,64.9,16,295.3,25.6,9,,2015-08-11T06:21:34,2015-08-11T20:07:35,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-12,24.6,14,19.5,24.6,14,19.5,13.5,70.2,0,0,0,,,,,28.5,292.7,1016.9,21,15.9,328.7,28.4,10,,2015-08-12T06:22:26,2015-08-12T20:06:23,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-13,23.4,17.6,19.9,23.4,17.6,19.9,14.5,72.3,0,0,0,,,,40.7,30.8,280.9,1017.3,57.8,16,328.7,28.5,10,,2015-08-13T06:23:17,2015-08-13T20:05:10,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-14,23.1,17.3,19.5,23.1,17.3,19.5,14.3,73.1,0,0,0,,,,57.4,29.6,271.6,1017.5,60.2,15.8,314.2,27.2,9,,2015-08-14T06:24:09,2015-08-14T20:03:56,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-15,33.4,15.5,21.9,31.9,15.5,21.8,13.5,62.2,0,0,0,,,,51.8,26.7,304.4,1014.4,43.8,13.8,264.2,22.8,9,,2015-08-15T06:25:01,2015-08-15T20:02:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-16,32.9,16.7,23.2,32.2,16.7,23,13.6,57.9,0,0,0,,,,33.5,28.3,303.4,1011.4,62.1,12.2,262.6,22.7,8,,2015-08-16T06:25:52,2015-08-16T20:01:25,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-17,25.8,15.9,19.7,25.8,15.9,19.7,14.3,72.1,0,0,0,,,,44.6,30.5,299.9,1010.8,27.3,12.2,302.5,26.3,9,,2015-08-17T06:26:44,2015-08-17T20:00:07,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-08-18,23.9,15.7,18.8,23.9,15.7,18.8,13.7,73.2,0,0,0,,,,,27.1,307.2,1012.9,58.8,12.6,316.6,27.4,9,,2015-08-18T06:27:35,2015-08-18T19:58:49,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
